ID, PERSON_ID, CHECKIN, CHECKOUT, BUILDING
0000000001, 0000000000, '2017-04-03 08:10:52', '2017-04-03 09:14:23', '9252'
0000000002, 0000000000, '2017-04-03 10:03:05', '2017-04-03 11:39:13', '115954'
0000000003, 0000000000, '2017-04-03 13:05:58', '2017-04-03 15:17:24', '9252'
0000000004, 0000000000, '2017-04-03 16:31:27', '2017-04-03 17:50:40', '115954'
0000000005, 0000000000, '2017-04-03 18:11:21', '2017-04-03 20:49:31', '9224'
0000000006, 0000000000, '2017-04-04 08:01:43', '2017-04-04 09:08:16', '115954'
0000000007, 0000000000, '2017-04-04 11:50:09', '2017-04-04 13:56:19', '9224'
0000000008, 0000000000, '2017-04-04 15:09:46', '2017-04-04 17:22:12', '9252'
0000000009, 0000000000, '2017-04-04 19:06:48', '2017-04-04 20:49:00', '9252'
0000000010, 0000000000, '2017-04-04 21:20:41', '2017-04-04 22:25:27', '115954'
0000000011, 0000000000, '2017-04-05 07:14:53', '2017-04-05 09:39:34', '115954'
0000000012, 0000000000, '2017-04-05 10:29:10', '2017-04-05 12:48:49', '115954'
0000000013, 0000000000, '2017-04-05 14:21:56', '2017-04-05 15:53:08', '115954'
0000000014, 0000000000, '2017-04-05 16:17:08', '2017-04-05 17:57:49', '9224'
0000000015, 0000000000, '2017-04-05 18:15:24', '2017-04-05 19:57:13', '115954'
0000000016, 0000000000, '2017-04-05 21:03:54', '2017-04-05 23:11:56', '9252'
0000000017, 0000000000, '2017-04-06 07:09:15', '2017-04-06 09:21:50', '115954'
0000000018, 0000000000, '2017-04-06 10:17:22', '2017-04-06 12:24:24', '9252'
0000000019, 0000000000, '2017-04-06 13:48:05', '2017-04-06 15:56:57', '9252'
0000000020, 0000000000, '2017-04-06 16:12:17', '2017-04-06 17:36:16', '9224'
0000000021, 0000000000, '2017-04-06 18:19:56', '2017-04-06 19:37:26', '115954'
0000000022, 0000000000, '2017-04-06 21:37:57', '2017-04-06 23:59:45', '9252'
0000000023, 0000000000, '2017-04-07 12:18:01', '2017-04-07 14:22:59', '9124'
0000000024, 0000000000, '2017-04-08 16:43:00', '2017-04-08 19:51:42', '9124'
0000000025, 0000000001, '2017-04-03 07:14:27', '2017-04-03 09:47:40', '115954'
0000000026, 0000000001, '2017-04-03 11:30:22', '2017-04-03 13:57:27', '9252'
0000000027, 0000000001, '2017-04-03 15:05:22', '2017-04-03 16:10:29', '9252'
0000000028, 0000000001, '2017-04-03 17:18:43', '2017-04-03 18:50:20', '9250'
0000000029, 0000000001, '2017-04-03 20:28:31', '2017-04-03 21:55:47', '9252'
0000000030, 0000000001, '2017-04-04 07:35:35', '2017-04-04 08:56:23', '9401'
